trial,severity,mse,active_ingredient,year,spray,location,state
207,2,0.32639,pyra_epox,2012,2,GUARAPUAVA,PR
221,2,1.88631,azox,2013,3,SENADOR CANEDO,GO
244,2,28.18987,trif_prot,2014,3,CASCAVEL,PR
97,2,18.23483,pyra_epox,2009,3,GOIÂNIA,GO
158,2,7.43021,azox_cypr,2010,NA,SENADOR CANEDO,GO
162,2.1,20.24685,pico_cypr,2010,3,ENTRE RIOS,PR
89,2.1,0.25974,azox_cypr,2009,3,TANGARÁ DA SERRA,MT
128,2.1,11.68611,trif_prot,2009,3,UBERABA,MG
210,2.1,2.31392,azox,2013,2,SÃO GABRIEL DO OESTE,MS
233,2.1,13.58053,trif_prot,2014,3,CHAPADÃO DO SUL,MS
163,2.2,4.22077,pyra_metc,2010,2,JATAÍ,GO
91,2.2,2.56702,pyra_epox,2009,2,PONTA PORÃ,MS
91,2.2,2.56702,azox_cypr,2009,2,PONTA PORÃ,MS
116,2.2,1.52843,azox_cypr,2009,2,PONTA PORÃ,MS
221,2.2,1.88631,pyra_epox,2013,3,SENADOR CANEDO,GO
92,2.3,76.64312,pico_cypr,2009,2,CHAPADÃO DO SUL,MS
189,2.3,2.98095,pyra_metc,2011,2,PASSO FUNDO,RS
189,2.3,2.98095,pico_cypr,2011,2,PASSO FUNDO,RS
231,2.3,0.73264,trif_prot,2013,2,ENTRE RIOS,PR
231,2.3,0.73264,pico_cypr,2013,2,ENTRE RIOS,PR
212,2.3,0.10999,pico_cypr,2013,3,SANTO ANTONIO DE GOIAS,GO
9,2.3,26.14686,azox_cypr,2005,2,CAPÃO BONITO,SP
126,2.3,0.05907,tebu,2009,2,RIO VERDE,GO
218,2.3,0.76971,azox_cypr,2013,2,DOURADOS,MS
70,2.4,5.52171,azox,2007,2,ALVORADA,TO
91,2.4,2.56702,pico_cypr,2009,2,PONTA PORÃ,MS
114,2.5,0.20099,trif_prot,2009,3,TANGARÁ DA SERRA,MT
117,2.5,3.09707,trif_prot,2009,2,CHAPADÃO DO SUL,MS
200,2.5,4.01285,trif_prot,2012,2,LONDRINA,PR
200,2.5,4.01285,pico_cypr,2012,2,LONDRINA,PR
22,2.5,4.64198,tebu,2006,2,MARACAJÚ,MS
78,2.5,2.17532,pico_cypr,2008,2,TAMARANA,PR
149,2.6,283.93882,azox_cypr,2010,2,LUIZ EDUARDO MAGALHÃES,BA
